Nome Completo,Endereço,Email,Data de Nascimento,CPF,Telefone
Sra. Lara Peixoto,"Aeroporto Peixoto, 54, Conjunto Califórnia I, 47607610 Rocha das Flores / SP",eloah47@hotmail.com,1954-06-03,583.146.297-82,81 6153 0345
Srta. Heloísa Lopes,"Colônia Luiz Felipe Alves, 74, São Bento, 16197-008 Porto do Oeste / PE",martinsnicole@ig.com.br,1993-07-23,486.950.712-94,+55 31 5061 9830
Benjamin Caldeira,"Área Nicolas Azevedo, 211, Grota, 01220352 Carvalho da Mata / SP",ydas-neves@hotmail.com,1962-11-07,549.378.612-55,(021) 2266 2974
Fernanda Monteiro,"Lago da Cunha, 9, São Sebastião, 41099-610 Ribeiro Grande / MG",dpereira@costa.com,2009-12-06,142.378.695-55,(031) 1566 0090
Gabriel Souza,"Praia Enzo Castro, 3, Vila Petropolis, 30475524 Rodrigues do Oeste / RR",leandro12@yahoo.com.br,2008-07-01,086.571.493-20,61 2903 0267
Ana Monteiro,"Colônia de Carvalho, Beija Flor, 72045-853 da Luz dos Dourados / MA",moraesjoao-gabriel@ig.com.br,2021-07-24,517.286.430-07,+55 61 7099 9920
Luiz Fernando das Neves,"Quadra Melissa Souza, 80, Teixeira Dias, 18337756 Cardoso / SE",natalia07@da.com,1922-12-05,143.782.956-28,+55 (011) 1416 0163
Stella Rodrigues,"Parque Carlos Eduardo Teixeira, 514, Alto Caiçaras, 41213367 Pereira / MA",fviana@hotmail.com,1988-04-01,954.203.816-05,+55 (021) 6901 9923
Yago Gomes,"Praia Danilo Correia, São Benedito, 50899329 Gomes do Oeste / AP",maria-alice21@pinto.org,1997-09-20,521.930.678-21,+55 (084) 3220-2429
Ana Luiza da Cruz,"Rua de Moraes, 27, Vila Mantiqueira, 43387-159 Silva do Amparo / MT",ycosta@hotmail.com,1940-08-07,034.567.189-93,0800 116 2572
Cauã Moreira,"Jardim Maria Clara Rocha, 399, Outro, 58329-379 Lopes da Praia / PI",ferreiraantonio@hotmail.com,2007-11-09,590.236.874-00,71 0438-9261
Leonardo Azevedo,"Praia de Nascimento, 63, Castelo, 27244-057 Santos Grande / MS",peixotoluna@da.com,2023-12-22,643.729.105-25,(084) 0322 7382
Milena Santos,"Via de Jesus, 72, Santo Antônio, 14126-285 Novaes / SC",ocardoso@castro.com,1937-03-14,856.349.710-39,+55 (011) 5052 4073
Dra. Alícia Caldeira,"Condomínio de Viana, 7, Pilar, 99971863 Teixeira / PE",heitoroliveira@pereira.com,2020-01-26,271.086.439-87,+55 (051) 5692-2560
João Gabriel da Mota,"Parque Emilly da Mata, 61, Califórnia, 01911372 Aragão / RR",ida-paz@bol.com.br,2016-07-14,924.587.603-92,(051) 1399 1509
Gabrielly Cunha,"Esplanada Rezende, 51, Santa Sofia, 63362450 Porto / MT",mfernandes@bol.com.br,1936-06-01,746.183.259-09,+55 (061) 4239 6616
Davi Lucca Teixeira,"Trecho de Barbosa, 52, Engenho Nogueira, 10233746 Almeida do Galho / AM",davi-luiz00@ig.com.br,1960-11-10,506.819.327-59,(041) 7717-3175
Pietra Alves,"Morro de Moura, 86, Novo Aarão Reis, 07107513 Moraes da Prata / PI",caua34@ig.com.br,1941-01-01,351.426.709-06,+55 71 5840-9283
Luiz Fernando Pinto,"Jardim de Fernandes, 99, Minas Caixa, 47175846 da Rocha / AL",jda-costa@bol.com.br,1976-08-21,659.710.384-00,+55 51 7718 9803
Caio Cardoso,"Jardim da Paz, 59, Santa Isabel, 24764-588 Barros das Pedras / MA",joaquimcardoso@yahoo.com.br,1943-09-10,234.895.170-32,+55 61 7018 7918
Diogo Martins,"Trevo Gomes, 897, Lindéia, 85453-733 Silveira / RN",natalia21@santos.org,1961-01-23,903.162.748-87,(021) 6867-0322
Sophie Lima,"Ladeira Viana, 42, Vila Madre Gertrudes 2ª Seção, 00541899 da Rocha de Dias / DF",almeidajoao-vitor@costa.br,1938-04-07,539.812.047-60,+55 41 8266-8027
Melissa Gonçalves,"Avenida Moura, 96, Vila De Sá, 67281-438 da Luz de Porto / AP",rochaesther@hotmail.com,1936-08-06,938.567.041-75,+55 51 4691 9857
